Mapping Ref,Ref,Project Name ,Sponsor ,LA,Pipeline First Cut ,Known HE involvement?,Postcode,Developer ,One Line Summary ,Number Of Units ,Site Size (hectares),Greenfield/Brownfield,Place-based Pipeline Y/N,Place-based Pipeline Link,Mix,SPP Priority Area Y/N,SPP Priority Area,Planning  Status ,Developer Status ,Land Ownership Type ,Procurement Route ,Enabling Works Start,Housing Start,Project Completion Date ,Market Failure Type,Intervention Required?,Revenue / Development Ask ,Intervention Type,Constraints,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
100,LIV015,Stalled Site H ,Liverpool,Liverpool,Long,1,L3,TBC,"Long term vacant site with planning consent to erect 416 no. apartments in four blocks (9 storeys in height) with associated access, car parking, servicing and hard and soft landscaping   Securing the development of the site will remove a significant neighbourhood and city blight and bring forward a high number of housing units in a key location. Site falls within the Pumpfields area, which is currently subject to a SPD being prepared for the area. This may influence what can come forward on the site in the future. It is also within the proposed LLUDC boundary, for which there is a seperate funding ask for the wider area.    ",416,0.8,Brownfield,Yes,North  Liverpool ,80% Private 20% Affordable,Yes,North Liverpool Regeneration,Full/RM Consent in Place,No Developer/Contractor/RP in place,Single Private,"Acquisition, Development, Brief, Market",2027-04-01 00:00:00,2028-09-01 00:00:00,2031-03-01 00:00:00,Coordination Failure,1,,Site acquisition  and site Investigations/design brief.,"Stakeholder consensus, Long Term Vacant site ",,,,,,,,,
101,LIV016,Stalled Site I ,Liverpool,Liverpool,Long,1,L3,TBC,"Plans submitted for 138 flats and 2,065 sq ft of commercial space at block D of previously developed site. Troubled site with completed blocks A, B, C and E subject to ASB and building regs issues. Previous developer is in administration and funding support needed to facilitate the site being in single ownership and to address viability issues including retsospective remediation to earlier build out. Securing the development of the site will remove a significant neighbourhood and city blight and bring forward a high number of housing units in a key location.",138,,Brownfield,Yes,North  Liverpool ,80% Private 20% Affordable,Yes,North Liverpool Regeneration,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Single Private,"Acquisition, Development, Brief, Market",2026-09-01 00:00:00,2027-03-01 00:00:00,2030-03-01 00:00:00,Coordination Failure,1,,Site acquisition  and site Investigations/design brief.,"Stalled Site, Derelict Condition",,,,,,,,,
102,LIV017,SHLAA SIte C,Liverpool,Liverpool,Short,1,Anfield,TBC,A development of 46 homes is proposed on a main arterial route in North Liverpool.  The site falls within the proposed New Town area and is one of the key housing priority sites. There is a seperate proforma on the wider New Town proposals and funding ask,46,0.5,Brownfield,Yes,North  Liverpool ,80% Private 20% Affordable,Yes,North Liverpool Regeneration,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Mixed - Public/Private ,Private Treaty Sale,2026-10-01 00:00:00,2027-03-01 00:00:00,2029-03-01 00:00:00,Coordination Failure,1,,Site Investigations/Viability Gap/Designs/Remediation/Demolition,"Viability constraints, ground conditions, private ownership (to be incorporated into the wider development site) to be acquired",,,,,,,,,
103,LIV018,Former Trinity School  D ,Liverpool,Liverpool,Short,1,L5 8UT,TBC,Cleared site with the potential to deliver a scheme of 80 family homes in conjunction with the adjoining owner. Site sits within the Pumpfield SPD and LLUDC boundary,80,1.97,Brownfield,Yes,North  Liverpool ,80% Private 20% Affordable,Yes,North Liverpool Regeneration,Allocated and/or planning application,No Developer/Contractor/RP in place,Mixed - Public/Private ,Private Treaty Sale,2025-10-01 00:00:00,2026-05-01 00:00:00,2028-08-01 00:00:00,Coordination Failure,1,,Site Investigations/Viability Gap/Designs/Remediation,"Viability constraints, ground conditions, private ownership (to be incorporated into the wider development site) to be acquired",,,,,,,,,
104,LIV019,Soho Street E ,Liverpool,Liverpool,Short,1,City Centre SW,TBC,A development of 75 homes with an improved open space offer which would see the redevelopment of an area of informal open space and a disused MUGA. Site sits within proposed SPD for Everton West,75,2.8,Brownfield,Yes,North  Liverpool ,80% Private 20% Affordable,Yes,North Liverpool Regeneration,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Public,Private Treaty Sale,2026-10-01 00:00:00,2027-03-01 00:00:00,2029-05-01 00:00:00,Coordination Failure,1,,Site Investigations/Viability Gap,"Viability constraints, ground conditions",,,,,,,,,
105,LIV020,SHLAA Site F,Liverpool,Liverpool,Short,0,Belle Vale,TBC,A development of 98 family homes within the grounds of the former School.,98,0.8,Brownfield,No,,"50% Private, 50% Public",No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Public,Private Treaty Sale,2026-10-01 00:00:00,2027-03-01 00:00:00,2029-02-01 00:00:00,Coordination Failure,1,,Site Investigations/Viability Gap,"Viability constraints, ground conditions",,,,,,,,,
106,LIV021,"Wholesale Fruit and Veg Site, Prescot Road",Liverpool,Liverpool,Short,0,L13 2BH,TBC,"A development of 53 homes on land allocated residential in the Local Plan. Balance of the site to be developed as a new school.   The cleared site of the former Wholesale Fruit and Veg facility is bound by Prescot Road to the North, St. Cuthberts Primary School to the East, the boundary with the new Wholesale Fruit and Veg to the South and the railway line to the West.",53,1.56,Brownfield,No,,80% Private 20% Affordable,No,,Allocated and/or planning application,No Developer/Contractor/RP in place,Public,Private Treaty Sale,2026-10-01 00:00:00,2027-03-01 00:00:00,2029-01-01 00:00:00,Coordination Failure,1,,Site Investigations/Viability Gap/Designs/Remediation/Demolition,"Viability constraints, ground conditions, private ownership (to be incorporated into the wider development site) to be acquired",,,,,,,,,
107,LIV022,Stalled Site K ,Liverpool,Liverpool,Medium,1,L3,TBC,"Stalled site, building partly built. Consent to erect 2 no. linked blocks of between three and five-storeys with secure undercroft parking to provide 70 no. units of residential accommodation, and carry out associated landscaping and ancillary works. Prominent site now in administration and receiver appointed. Funding support needed to facilitate the site being completed by addressing viability issues. Securing the development of the site will remove a significant neighbourhood and city blight and bring forward a high number of housing units in a key location.  Site is located within the proposed New Town area, which is subject to a seperate proforma for the wider area.",70,0.27,Brownfield,Yes,North  Liverpool ,80% Private 20% Affordable,Yes,North Liverpool Regeneration,Full/RM Consent in Place,No Developer/Contractor/RP in place,Single Private,"Acquisition, Development, Brief, Market",2027-03-01 00:00:00,2027-09-01 00:00:00,2029-03-01 00:00:00,Coordination Failure,1,,"Site acquisition, remdiation (building will need to be taken down)  and site Investigations/design brief.","Multiple land owners, stalled sites, site viability, ground conditions",,,,,,,,,
108,LIV023,Pumpfields SPD ,Liverpool,Liverpool,Long,1,Pumpfields,TBC,"The Council has commissioned a SPD for the Pumpfields areas. The Council is working with stakeholders to identify opportunities in this area to bring forward suitable housing led developments; intervene and unlock long term derelict sites and third party stalled sites; assemble sites to create developments of sufficient critical mass and marketability; assist with site viability and address site remediation. Detailed analysis of thePumpfields area is/will be undertaken and as individual opportunities start to crystalise the Council will engage with the LCRCA and Homes England to prioritise individual sites to target funding where it can accelerate housing delivery and create the biggest impact. The area falls within the LLUDC boundary, which there is a seperate proforma for the wider area and funding ask",2000,,Brownfield,Yes,North  Liverpool ,80% Private 20% Affordable,Yes,North Liverpool Regeneration,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Mixed - Public/Private ,TBC,2028-04-01 00:00:00,2029-07-01 00:00:00,2035-03-01 00:00:00,Coordination Failure,1,"£250,000.00","Acquisition, site investigations, viability gap","Multiple land owners, stalled sites, site viability, ground conidtions",,,,,,,,,
109,LIV024,Central Station,Liverpool,Liverpool,Long,1,L1 1JT,TBC,Looking to bring forward circa 500 units to support wider regeneration at Central Station,500,,Brownfield,No ,,80% Private 20% Affordable,No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Mixed - Public/Private ,TBC,2028-04-01 00:00:00,2029-07-01 00:00:00,2035-03-01 00:00:00,Coordination Failure,1,,"Acquisition, site investigations, viability gap","Multiple land owners, stalled sites, site viability, ground conidtions",,,,,,,,,
110,LIV025,Fabric District ,Liverpool,Liverpool,Long,0,L3 8HE,TBC,"500 units to be brought forward in Fabric District, mix of private and affordable",500,,Brownfield,No,,80% Private 20% Affordable,No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Mixed - Public/Private ,TBC,2028-04-01 00:00:00,2029-07-01 00:00:00,2035-03-01 00:00:00,Coordination Failure,1,,"Acquisition, site investigations, viability gap","Multiple land owners, stalled sites, site viability, ground conidtions",,,,,,,,,
111,LIV026,Pall Mall,Liverpool,Liverpool,Long,0,L3 7DB,TBC,1.35 hectare site in Haydock identified in St Helens Strategic Housing Land Availability Assessment (2024),500,,Brownfield,No,,80% Private 20% Affordable,No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Mixed - Public/Private ,TBC,2028-04-01 00:00:00,2029-07-01 00:00:00,2035-03-01 00:00:00,Coordination Failure,1,,"Acquisition, site investigations, viability gap","Multiple land owners, stalled sites, site viability, ground conidtions",,,,,,,,,
112,LIV027,St Georges Gateway,Liverpool,Liverpool,Long,0,L1 1JJ,TBC,"500 units in emerging regeneration area, following removal of flyover",500,,Brownfield,No,,80% Private 20% Affordable,No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Mixed - Public/Private ,TBC,2027-04-01 00:00:00,2028-03-01 00:00:00,2029-03-01 00:00:00,Coordination Failure,1,,"Acquisition, site investigations, viability gap","Multiple land owners, stalled sites, site viability, ground conidtions",,,,,,,,,
113,LIV028,Great George Street,Liverpool,Liverpool,Short,0,L15EW,,c. 400 units split across 3 plots which lie within Liverpool's historic Chinatown + close to baltic triangle district,400,1.84,Brownfield,No,,80% Private 20% Affordable,Yes,Great George Street,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Public,Private Treaty Sale,2027-10-01 00:00:00,2028-10-01 00:00:00,2029-10-01 00:00:00,Coordination Failure,1,,Site investigation / Viability gap,"Viability constraints, ground conditions",,,,,,,,,
114,LIV029,"SHLAA Site L - Site in Knowsley, Aintree Lane/ Longmoor Lane ",Liverpool,Liverpool,Medium,0,Aintree Lane/ Longmoor Lane,TBC,Long term vacant site in the council ownership but located in Knowsley,130,TBC,Brownfield,No,,"50% Private, 50% affordable",No,,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Public,Open Market,2027/28,2028/29,2030/31,Coordination Failure,1,None of current awareness,"Site investigations, viability gap","Site Abnormals, Viability ",,,,,,,,,
115,LIV030,LLUDC Area,Liverpool,Liverpool,Long,0,See boundary,Unknown atm,LLUDC Area covers 17251 sites.,17251,,Brownfield,Yes,North Liverpool,"80% private, 20% affordable",Yes,North Liverpool Regeneration,"No Allocation, No Planning Permission, expired permission or other ",No Developer/Contractor/RP in place,Mixed - Public/Private ,Not known atm,2028/29,2029/30,2039/40,Coordination Failure,1,"£500,000 - future masterplanning","Acquisition, site investigations, viability gap",Coming to an agreement with adjacent landowner and general viability constraints.,,,,,,,,,
118,HAL001,Widnes Central - Albert Square Priority Development Opportunity,Halton,Halton,Long,0,WA8 6JW,Not known,130 units in Widnes Town Centre,130,2.3,Brownfield,Yes,Widnes,"Mixed Tenure, possibly BTR",Yes,Widnes Town Centre,"No Allocation, No Planning Permission, expired permission or other ",,Mixed - Public/Private ,Development Partner,2025,2029,2032,Public Good / Coordination Failure,1,,Land Assembly; Possible demolition & site clearance works; Site Investigations and optioneering; Viability,Land Assembly; consolidation of retail use within town centre,,,,,,,,,
119,HAL002,Northern Gateway Housing Opportunity / Widnes Market,Halton,Halton,Long,0,WA8 6UE,Not known,120 unit site in Widnes Town Centre,120,2,Brownfield,Yes,Widnes,"Mixed Tenure, possibly BTR",Yes,Widnes Town Centre,"No Allocation, No Planning Permission, expired permission or other ",,Mixed - Public/Private ,Development Partner,2025,2030,2033,Public Good / Coordination Failure,0,,Remodelling market; land assembly; Site investigations and optioneering; Viability,Remediation; Land Assembly and consolidation of town centre car parking to release land for development; Remodelling market building to release land for development,,,,,,,,,
122,HAL005,"Site of Former Community Centre, Vine Street",Halton,Halton,Medium,0,WA8 6DW,Not known,10 unit site in Widnes Town Centre,10,0.06,Brownfield,Yes,Widnes,Social Housing ,Yes,Widnes Town Centre,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,,Private - mixed,Developer Led,2026,2027,2028,Imperfect Information ,0,,Viability appraisal ,Land Ownership ,,,,,,,,,
123,HAL006,Foundry Lane Phase 1,Halton,Halton,Short,1,WA8 8YZ,Plus Dane / Cityheart,"63 unit site, previously had BLF",63,1.9,Brownfield,Yes,Widnes,"33 Social Rent, 30 Shared Ownership",Yes,Halebank,Full/RM Consent in Place,,Public,Development Partner,,2025,2027,Coordination Failure,0,,,Remediation; Flood Risk,,,,,,,,,
124,HAL007,Foundry Lane Phase 2 (onwards),Halton,Halton,Short,1,WA7 1EF,Cityheart/TBC,"297 unit site, previously had BLF",297,5.73,Brownfield,Yes,Widnes,Mixed Tenure,Yes,Halebank,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,,Mixed - Public/Private ,Development Partner,2026,2027,2031,Coordination Failure,0,,Yes - Land assembly; demolition & site clearance works; design and technical survey;  ,Remediation; Flood Risk; Land Assembly,,,,,,,,,
125,HAL008,Land West of Hale Gate Road,Halton,Halton,Short,0,WA8 8LZ,Harworth Group,600 unit site in Halebank,600,22.8,Greenfield,Yes,Widnes,400 Open Market; 100 Affordable Housing; 100  Older People Accommodation,Yes,Halebank,Outline/Hybrid consent granted,,Single Private,Developer Led,,Unknown,Unknown,,0,,,,,,,,,,,,
126,HAL009,Land Parcels on Halebank Road,Halton,Halton,Medium,1,L5 9UU,Unknown,54 unit site in Halebank,54,2.26,Mixed,Yes,Widnes,Mixed Tenure,Yes,Halebank,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,,Mixed - Public/Private ,Council Land Disposal / Developer Led,,2028,2032,,0,,,,,,,,,,,,
127,HAL010,(Safeguarded Land)  at Hale Gate Road,Halton,Halton,Long,0,WA8 8LS,Unknown,640 unit site in Halebank,640,22.67,Greenfield,Yes,Widnes,Mixed Tenure,Yes,Halebank,"No Allocation, No Planning Permission, expired permission or other ",,Private - mixed,Developer Led,,Unknown,Unknown,,0,,,,,,,,,,,,
128,HAL011,(Safeguarded Land ) to the South of Hale Bank Road,Halton,Halton,Long,0,WA8 8NG,Unknown,700 unit site in Halebank,700,25.1,Greenfield,Yes,Widnes,Mixed Tenure,Yes,Halebank,"No Allocation, No Planning Permission, expired permission or other ",,Private - mixed,Developer Led,,Unknown,Unknown,,0,,,,,,,,,,,,
129,HAL012,East Lane Development Opportunity Area (East Lane House and Adjoining Land),Halton,Halton,Medium,1,WA7 2UR,TBC,135 units in Halton Lea,135,3.8,Brownfield,Yes,Runcorn,Mixed Tenure,Yes,Halton Lea,Allocated and/or planning application,,Mixed - Public/Private ,Unknown,2026,2029,2034,Public Good; Coordination,0,,"Yes - Land Assembly; Remediation; Design Feasibility, Technical Surveys and Optioneering",Land Assembly;  Viability ,,,,,,,,,
130,HAL013,Palacefields Phase 1 (Local Centre),Halton,Halton,Short,1, WA7 2NZ,Riverside,"134 units in Halton lea, led by Riverside",134,3.7,Brownfield,Yes,Runcorn,Mixed Tenure,Yes,Halton Lea,Allocated and/or planning application,,Private - mixed,RP Led,Unknown,2025,2031,Public Good; Coordination,0,,,Land Assembly;  Viability ,,,,,,,,,
131,HAL014,Palacefields Phase 2 (The Uplands),Halton,Halton,Medium,1,WA7 2UA,Riverside,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of Runcorn,257,10,Brownfield,Yes,Runcorn,Mixed Tenure,Yes,Halton Lea,Allocated and/or planning application,,Public,RP Led,Unknown,2028,2035,Public Good; Coordination,0,,,Land Assembly;  Viability ,,,,,,,,,
132,HAL015,"Former Residential Blocks, Halton General Hospital",Halton,Halton,Medium,1,WA7 2DA,Unknown,"32 units in Halton Lea, Halton General Hospital site",32,0.7,Brownfield,Yes,Runcorn,Mixed Tenure,Yes,Halton Lea,"No Allocation, No Planning Permission, expired permission or other ",,Public,TBC - Land Disposal by NHS,2027,2028,2029,Public Good,0,,"Yes - Site would benefits from some de-risking activity and technical surveys and to ensure scheme forms part of overall Hospital Campus Masterplan (in accordance with Policy HC5 Criterion 6)
• Potential packaging with other sites in public ownership within Halton Area, to release a critical mass to the market","Demolitions, low market values, separation from hospital estate (i.e. new residential access)",,,,,,,,,
133,HAL016,"Shopping City (Town Centre Core), Including underutilised land and buildings (including Rutland House, Grosvenor House, Police and former Law Courts), and associated Infrastructure",Halton,Halton,Long,0,WA72EU,Unknown,part of the 74 new homes across 3 brownfield sites within Runcorn station quarter,350,9.8,Brownfield,Yes,Runcorn,Mixed Tenure,Yes,Halton Lea,"No Allocation, No Planning Permission, expired permission or other ",,Mixed - Public/Private ,TBC ,Unknown,Unknown ,Unknown,Public Good; Coordination Failure; ,0,,, ,,,,,,,,,
134,HAL017,Land South of Halton Hospital,Halton,Halton,Long,0,WA7 2HQ,Unknown,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of Runcorn,45,1.67,Greenfield,Yes,Runcorn,Mixed Tenure,Yes,Halton Lea,Allocated and/or planning application,,Public,TBC,Unknown,Unknown ,Unknown,Public Good; Coordination Failure; ,0,,"Yes - Site would benefits from some de-risking activity and technical surveys
• Potential packaging with other sites in public ownership within Halton Area, to release a critical mass to the market", ,,,,,,,,,
135,HAL018,Surry Street Garages and Adjoining Land (Runcorn stations quarter) ,Halton,Halton,Long,0,WA7 2FW,Unknown,part of the 74 new homes across 3 brownfield sites within Runcorn station quarter,7,0.23,Greenfield,Yes,Runcorn,Affordable Housing,Yes,Halton Lea,Allocated and/or planning application,,Unknown,TBC,Unknown,Unknown ,Unknown,Public Good; Coordination Failure; ,0,,"Yes - Site would benefits from some de-risking activity and technical surveys
• Potential packaging with other sites in public ownership within Halton Area, to release a critical mass to the market", ,,,,,,,,,
136,HAL019,Land South of Percival Lane,Halton,Halton,Long,0,WA7 2FB,Unknown,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of Runcorn,43,1.61,Greenfield,Yes,Runcorn,Mixed Tenure,Yes,Halton Lea,Allocated and/or planning application,,Public,TBC,Unknown,Unknown ,Unknown,Public Good; Coordination Failure; ,0,,"Yes - Site would benefits from some de-risking activity and technical surveys
• Potential packaging with other sites in public ownership within Halton Area, to release a critical mass to the market", ,,,,,,,,,
138,HAL021,site of Former Croft Public House,Halton,Halton,Medium,1,WA7 5YQ,Unknown,16 units in Haton Lea,16,0.2,Brownfield,Yes,Runcorn,Mixed Tenure,Yes,Halton Lea,Full/RM Consent in Place,,Mixed - Public/Private ,TBC,2026,2026,2027,Public Good,0,,"Yes - Masterplanning, Site investigation and feasibility study for Halton Lodge Estate Regeneration", ,,,,,,,,,
139,HAL022,"Mercia Place, over 55s Scheme",Halton,Halton,Short,0,WA7 1AH,Halton Housing,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of runcorn,66,0.25,Brownfield,Yes,Runcorn,Mixed Tenure,Yes,Runcorn Town Centre,Full/RM Consent in Place,Developer/contractor/RP in place for part of this site,Private - mixed,Developer Led,2025,,2026,Coordination Failure,1,,Housing Site Investment Prospectus,,,,,,,,,,
142,HAL025,Old Quay Street,Halton,Halton,Short,1,WA7 5SG,TBC - Council process of entering into an option with a developer,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of runcorn,39,1.46,Brownfield,Yes,Runcorn,Mixed Tenure,Yes,Runcorn Town Centre,Allocated and/or planning application,Developer/contractor/RP in place for part of this site,Public,Council Land Disposal,Uknown,2027,2028,Public Good / Coordination Failure,0,,No,"Remediation & groundworks, BNG requirements",,,,,,,,,
143,HAL026,Former Polar Ford & Surrounding area,Halton,Halton,Long,1,WA7 5SS,TBC,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of runcorn,65,1.7,Brownfield,Yes,Runcorn,Mixed Tenure,Yes,Runcorn Town Centre,Allocated and/or planning application,Developer/contractor/RP in place for part of this site,Private - mixed,Developer Led,Uknown,2028,2031,Public Good / Coordination Failure,0,,Yes - Masterplanning to address coordination failure and promite site assembly,"Land assembly, remediation, levels/groundworks",,,,,,,,,
144,HAL027,Runcorn Station Quater Plot 1 & 2 (& possibly network rail car park 2) ,Halton,Halton,Medium,1,WA75UB,TBC,part of the 74 new homes across 3 brownfield sites within runcorn station quarter,33,0.41,Brownfield,Yes,Runcorn,Build To Rent,Yes,Runcorn Town Centre,Allocated and/or planning application,Developer/contractor/RP in place for part of this site,Public,TBC ,2025,2028,2030,Public Good / Coordination Failure,1,,Yes- Design feasibility,"Land assembly, construction costs (potential under croft parking), low market values, access",,,,,,,,,
145,HAL028,Victoria Buildings 1862 - Care leavers accomodation,Halton,Halton,Medium,1,"4-8 church street (upper floors), old town centre, runcorn",TBC,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of runcorn,9,0.02,Brownfield,Yes,Runcorn,Affordable Housing,Yes,Runcorn Town Centre,"No Allocation, No Planning Permission, expired permission or other ",Developer/contractor/RP in place for part of this site,Public,TBC,2026,2028,2029,Public Good / Coordination Failure,1,,Yes - Design Work,Vacant Upper floors of heritage buildings within Town Centre. Requires modernisation and conversation to residential use. includeing accessibility improvements,,,,,,,,,
146,HAL029,Brindley Car Park / Canal Frontage Site,Halton,Halton,Medium,1,"Land to rear of High St, old town centre",TBC,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of runcorn,56,0.4,Brownfield,Yes,Runcorn,Mixed Tenure,Yes,Runcorn Town Centre,Allocated and/or planning application,Developer/contractor/RP in place for part of this site,Public,TBC,2026,2028,2030,Public Good ,0,,Yes - Design & Technical survey required to inform site de-risking and disposal strategy,"Site viability, ground conditions",,,,,,,,,
147,HAL030,Land at Wellington Street & Egerton Street (potential prisoners building home site),Halton,Halton,Short,1,WA7 1LB,TBC,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of runcorn,15,0.37,Brownfield,Yes,Runcorn,Affordable Housing,Yes,Runcorn Town Centre,Allocated and/or planning application,Developer/contractor/RP in place for part of this site,Public,Council Land Disposal,2026,2027,2028,Public Good / Coordination Failure,0,,Yes - Design feasibility. Majority site is public car park. This would need to be addressed. Part of site is private agarages - need to confirm use / any lease arrangements or exclude site boundary,"Site viability, ground conditions",,,,,,,,,
148,HAL031,Site of Former Waterloo Centre & Crnegie Library,Halton,Halton,Medium,1,WA7 1JN,TBC,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of runcorn,29,0.25,Brownfield,Yes,Runcorn,Affordable Housing,Yes,,Full/RM Consent in Place,Developer/contractor/RP in place for part of this site,Private - mixed,Developer Led,,2027,2029,Public Good / Coordination Failure,0,,,Viability/ listed building / brownfield site,,,,,,,,,
149,HAL032,Surry Street Garages and Adjoining Land (runcorn stations quater) ,Halton,Halton,Medium,1,WA7 5TT,TBC,part of the 74 new homes across 3 brownfield sites within runcorn station quarter,11,0.26,Brownfield,Yes,Runcorn,Mixed Tenure,Yes,Runcorn Town Centre,Allocated and/or planning application,Developer/contractor/RP in place for part of this site,Mixed - Public/Private ,TBC,2026,2028,2030,Coordination,0,,Yes - Design & Technical survey required to inform site de-risking and disposal strategy,"Land assembly, site clearance works, levels/groundworks",,,,,,,,,
150,HAL033,Land South of Precival Lane,Halton,Halton,Medium,1,WA7 4UY,TBC,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of runcorn,16,0.16,Brownfield,Yes,Runcorn,Mixed Tenure,Yes,Runcorn Town Centre,Allocated and/or planning application,,Private - mixed,Developer Led,,2027,2028,Coordination,0,,,Remediation and site preparation,,,,,,,,,
151,HAL034,Former Deck Showroom,Halton,Halton,Medium,1,WA7 1GG,TBC,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of runcorn,15,0.54,Brownfield,Yes,Runcorn,Mixed Tenure,Yes,Runcorn Town Centre,Allocated and/or planning application,Developer/contractor/RP in place for part of this site,Private - mixed,Developer Led,,2027,2028,Coordination,0,,,"Multiple land owners, stalled sites, site viability, ground conditions",,,,,,,,,
152,HAL035,Remainder of The Deck,Halton,Halton,Medium,1,WA7 1GT,TBC,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of runcorn,12,0.44,Brownfield,Yes,Runcorn,Mixed Tenure,Yes,Runcorn Town Centre,Allocated and/or planning application,Developer/contractor/RP in place for part of this site,Private - mixed,Developer Led,,2027,2028,Coordination,0,,,"Multiple land owners, stalled sites, site viability, ground conditions",,,,,,,,,
153,HAL036,Land at Church Street and Loch Street,Halton,Halton,Long,1,57-61 Church st old town centre,TBC,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of runcorn,3,0.02,Brownfield,Yes,North Liverpool ,Unknown,Yes,Runcorn Town Centre,"No Allocation, No Planning Permission, expired permission or other ",Developer/contractor/RP in place for part of this site,Public,Council Land Disposal,2026,2028,2029,Coordination,0,,Yes - Design & Technical survey required to inform site de-risking and disposal strategy,Unknown ,,,,,,,,,
154,HAL037,"Former staff car park, Bridge Retail Park",Halton,Halton,Medium,1,WA7 5BD,TBC,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of runcorn,8,0.14,Brownfield,Yes,Runcorn,Mixed Tenure,Yes,Runcorn Town Centre,"No Allocation, No Planning Permission, expired permission or other ",Developer/contractor/RP in place for part of this site,Single Private,Developer Led,2026,2027,2028,Coordination,0,,Yes - Design & Technical survey required to inform site de-risking and disposal strategy,Unknown,,,,,,,,,
155,HAL038,Section of Busway adjacent to Bridgewater Canal,Halton,Halton,Long,1,Land off Bridge St and Leiria Way,TBC,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of runcorn,28,1.03,Brownfield,Yes,Runcorn,Mixed Tenure,Yes,Runcorn Town Centre,Allocated and/or planning application,Developer/contractor/RP in place for part of this site,Public,Council Land Disposal,,2028,2029,Coordination,0,,Yes - Design & Technical survey required to inform site de-risking and disposal strategy,"Site preparation, Highway Works",,,,,,,,,
156,HAL039,Land at Lord Street,Halton,Halton,Long,1,WA7 1HF,TBC,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of runcorn,2,0.03,Brownfield,Yes,Runcorn,Unknown,Yes,Runcorn Town Centre,"No Allocation, No Planning Permission, expired permission or other ",Developer/contractor/RP in place for part of this site,Public,Council Land Disposal,2026,2027,2028,Coordination,0,,Yes - Design & Technical survey required to inform site de-risking and disposal strategy,Unknown,,,,,,,,,
157,HAL040,Dukesfield/Lord Street Small Plots,Halton,Halton,Long,1,"WA7 1, various small plots",TBC,part of the delivery of circa 453 new homes across 16 brownfield sites within old town centre of runcorn,10,0.25,Brownfield,Yes,Runcorn,Unknown,No,Runcorn Town Centre,"No Allocation, No Planning Permission, expired permission or other ",Developer/contractor/RP in place for part of this site,Public,Council Land Disposal,2026,2027,2029,Coordination,0,,Yes - Design & Technical survey required to inform site de-risking and disposal strategy,Unknown,,,,,,,,,
158,HAL041,Daresbury Garden Village (Central Housing Area - Between A56 and Canal ),Halton,Halton,Short,0,WA4 4GN  ,Redrow Homes,Part of the delivery of circa 2575 new mixed tenure homes through the Sustainable Urban Extension of East Runcorn at Sandymoor and at Daresbury Urban Village.,119,7.22,Greenfield,Yes,Runcorn,Mixed Tenure,No,,Full/RM Consent in Place,,Private - mixed,Market/Developer Led,,2023,2028,,0,,,,,,,,,,,,
159,HAL042,Daresbury Garden Village (Central Housing Area - Between A56 and Canal ),Halton,Halton,Short,0,WA4 4GN,Redrow Homes,Part of the delivery of circa 2575 new mixed tenure homes through the Sustainable Urban Extension of East Runcorn at Sandymoor and at Daresbury Urban Village.,181,11.35,Greenfield,Yes,Runcorn,Mixed Tenure,No,,Full/RM Consent in Place,,Private - mixed,Market/Developer Led,,2027,2032,,0,,,,,,,,,,,,
